fund_name,asset_class,category,classification,aum_cr,expense_ratio,return_1y,return_3y,return_5y,sharpe,std_dev,alpha,beta
HSBC Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,2045.0,1.38,26.12,13.62,20.08,1.14,17.96,1.11,1.05
HSBC ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,19089.0,1.99,27.16,21.27,26.11,1.87,13.42,1.81,0.92
HSBC Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,9925.0,2.04,15.86,21.45,23.18,0.94,13.95,5.99,0.88
HSBC Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,8778.0,1.7,18.04,16.83,12.69,0.58,17.14,0.33,0.8
HSBC Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,27980.0,0.18,17.0,11.89,16.63,0.68,20.79,-1.0,0.98
HSBC Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,8976.0,0.25,14.34,13.43,21.37,1.39,19.29,0.93,0.98
HSBC Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,20843.0,1.94,9.5,16.77,44.58,2.18,22.49,-1.61,1.28
HSBC Arbitrage Fund-Reg(G),Equity MF,EQ-ARB,Equity : Arbitrage,2344.0,0.89,7.76,5.2,6.12,2.16,0.74,0.04,0.13
Navi Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,31064.0,0.77,25.73,17.85,21.07,1.31,11.95,-0.9,0.99
Navi Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,23568.0,2.19,24.15,16.05,17.78,0.95,16.75,4.27,0.92
Navi Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,3236.0,1.47,39.47,25.93,31.01,2.08,24.44,0.36,0.83
Navi Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,42299.0,0.7,27.91,18.89,17.16,1.49,15.0,0.65,1.01
Navi Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,4919.0,1.89,12.86,23.83,26.27,0.71,13.49,-0.1,1.02
Navi Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,10539.0,0.62,34.71,23.05,29.08,1.21,19.32,5.66,1.09
Navi ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,36799.0,2.32,29.38,18.15,19.88,0.86,11.42,0.12,0.9
Navi Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,5796.0,1.76,29.77,13.2,21.59,0.91,16.65,3.81,0.99
Navi Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,19962.0,1.46,28.41,16.99,13.11,0.81,13.44,0.37,0.92
Navi Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,38505.0,0.17,7.86,16.52,11.7,0.92,12.58,0.15,0.99
Navi Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,31746.0,0.13,13.03,18.91,18.84,1.22,18.62,0.11,1.02
Navi Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,27775.0,0.04,19.43,21.36,19.81,1.11,10.27,-0.41,1.0
Navi Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,23179.0,0.43,21.26,21.13,21.55,1.26,18.63,-0.42,1.01
Navi Nifty IT ETF,Index Fund,EQ-ETF,Equity : ETF,12987.0,0.24,27.07,12.03,23.19,1.2,13.01,-0.44,0.98
Navi Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,28244.0,2.15,29.61,26.71,13.97,1.19,25.78,3.9,0.85
Groww Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,69092.0,0.66,21.4,17.99,12.85,1.32,12.53,4.1,1.01
Groww Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,15063.0,1.92,25.41,27.87,19.82,1.07,15.61,6.61,0.87
Groww Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,4098.0,1.12,30.31,19.64,16.71,0.96,16.12,0.8,1.08
Groww Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,9378.0,0.6,24.27,15.08,20.82,1.17,12.95,1.21,0.88
Groww Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,14492.0,0.76,25.47,23.59,20.43,1.0,12.67,-1.13,0.88
Groww Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,8081.0,0.83,24.8,14.92,23.53,1.08,17.77,0.49,1.11
Groww ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,14061.0,2.13,10.99,19.69,16.41,0.78,11.52,-0.97,1.1
Groww Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,8509.0,0.69,12.88,17.8,23.82,1.87,17.56,4.21,0.97
Groww Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,17240.0,1.91,12.42,22.59,22.93,1.36,15.79,3.95,0.85
Groww Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,25033.0,0.16,11.43,17.97,14.52,0.7,19.15,0.14,0.98
Groww Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,38415.0,0.3,9.36,10.24,17.68,1.28,15.7,0.3,0.99
Groww Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,17346.0,0.49,11.48,21.28,15.48,0.98,15.36,0.56,1.0
Groww Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,29424.0,1.63,8.97,27.41,35.47,2.27,22.62,2.76,0.99
360 ONE Large Cap Fund-Reg(G),Equity MF,EQ-LC,Equity : Large Cap,48174.0,1.84,11.69,17.58,19.02,1.05,15.63,0.64,1.02
360 ONE Mid Cap Fund-Reg(G),Equity MF,EQ-MC,Equity : Mid Cap,19849.0,1.11,21.87,15.07,29.81,0.61,15.25,-1.6,0.89
360 ONE Small Cap Fund-Reg(G),Equity MF,EQ-SC,Equity : Small Cap,13913.0,1.71,20.76,21.32,21.55,1.53,22.24,8.41,1.13
360 ONE Flexi Cap Fund-Reg(G),Equity MF,EQ-FC,Equity : Flexi Cap,6125.0,1.11,19.18,20.11,17.48,1.64,13.09,4.4,0.94
360 ONE Large & Mid Cap Fund-Reg(G),Equity MF,EQ-MLC,Equity : Large & Mid Cap,912.0,0.69,26.98,14.89,29.8,1.84,16.32,5.7,1.02
360 ONE Multi Cap Fund-Reg(G),Equity MF,EQ-MCap,Equity : Multi Cap,13211.0,1.14,20.37,15.94,31.96,1.51,13.63,-0.62,0.92
360 ONE ELSS Tax Saver-Reg(G),Equity MF,EQ-ELSS,Equity : ELSS,30941.0,0.56,14.83,19.87,25.46,1.97,16.27,2.81,0.99
360 ONE Focused Fund-Reg(G),Equity MF,EQ-FBS,Equity : Focused,5759.0,1.3,20.57,17.75,24.42,0.62,18.5,0.54,0.99
360 ONE Value Fund-Reg(G),Equity MF,EQ-VAL,Equity : Value,16029.0,0.5,19.06,23.0,25.93,0.53,17.15,3.92,0.89
360 ONE Nifty 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,1822.0,0.07,19.16,9.18,19.32,1.28,19.04,-0.86,0.98
360 ONE Nifty Next 50 Index Fund-Reg(G),Index Fund,EQ-IDX,Equity : Index,19838.0,0.26,12.75,17.56,17.69,1.09,20.87,0.37,1.01
360 ONE Nifty 50 ETF,Index Fund,EQ-ETF,Equity : ETF,27737.0,0.07,15.77,14.46,22.95,1.08,12.65,0.86,0.99
360 ONE Nifty Bank ETF,Index Fund,EQ-ETF,Equity : ETF,28726.0,0.08,13.0,10.51,18.18,1.47,10.89,-0.97,1.0
360 ONE Banking Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,7285.0,2.2,18.37,23.03,40.56,1.72,15.99,5.04,1.08
360 ONE IT Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,29102.0,1.02,44.87,22.75,18.14,0.57,15.29,3.66,0.89
360 ONE Pharma Fund-Reg(G),Equity MF,EQ-SEC,Equity : Sectoral/Thematic,2002.0,1.68,35.89,28.25,19.36,2.12,15.36,8.87,0.97
360 ONE Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,626.0,0.52,6.9,8.14,6.98,0.28,1.89,,
360 ONE Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,1283.0,0.32,6.02,6.72,5.74,0.13,0.19,,
Aditya Birla SL Banking & PSU Debt Fund(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,8992.0,0.73,6.22,7.09,6.11,0.14,1.24,,
Aditya Birla SL Corp Bond Fund(G),Debt MF,DT-CORP,Debt : Corporate Bond,27913.0,0.52,6.01,7.39,6.4,0.21,1.33,,
Aditya Birla SL Credit Risk Fund-Reg(G),Debt MF,DT-CR,Debt : Credit Risk,1175.0,1.66,12.68,11.84,9.78,0.5,2.89,,
Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,204.0,0.36,6.22,6.85,,0.19,1.42,,
Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,21.0,0.79,6.74,7.04,,0.16,0.61,,
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,620.0,0.38,7.01,7.87,,0.28,0.84,,
Aditya Birla SL Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,1886.0,1.23,5.66,7.3,6.84,0.13,2.52,,
Aditya Birla SL FTP-TI-1837D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,330.0,,6.76,7.45,,0.38,2.22,,
Aditya Birla SL FTP-TQ-1879D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,231.0,,7.34,7.76,,0.39,0.55,,
Aditya Birla SL FTP-UB-1224D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,26.0,,6.48,7.1,,0.29,3.66,,
Aditya Birla SL G-Sec Fund(G),Debt MF,DT-GILT,Debt : Gilt,1583.0,1.14,-0.13,5.51,5.06,-0.04,0.2,,
Aditya Birla SL Income Fund(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,1966.0,1.11,3.22,6.23,5.65,0.01,3.45,,
Aditya Birla SL Inv Inc-QS I-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,8.0,,5.96,6.85,5.93,0.33,0.48,,
Aditya Birla SL Liquid Fund(G),Debt MF,DT-LIQ,Debt : Liquid,51838.0,0.35,6.26,6.9,5.91,0.29,1.8,,
Aditya Birla SL Low Duration Fund(G),Debt MF,DT-LOWD,Debt : Low Duration,15209.0,1.24,6.48,6.8,5.82,0.14,0.38,,
Aditya Birla SL Medium Term Plan-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,3070.0,1.56,9.5,9.83,11.95,0.49,0.91,,
Aditya Birla SL Money Manager Fund(G),Debt MF,DT-MM,Debt : Money Market,30778.0,0.37,6.86,7.37,6.31,0.55,0.71,,
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,8197.0,0.36,6.89,7.3,,0.32,0.18,,
Aditya Birla SL Nifty SDL Sep 2027 Index Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,40.0,0.49,7.25,7.68,,0.28,1.13,,
Aditya Birla SL Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,9405.0,0.19,5.39,6.2,5.4,-0.73,0.35,,
Aditya Birla SL Savings Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,21467.0,0.59,7.01,7.36,6.31,0.56,1.05,,
Axis Credit Risk Fund-Reg(G),Debt MF,DT-CR,Debt : Credit Risk,367.0,1.57,8.21,7.8,6.76,0.47,1.05,,
Axis CRISIL IBX 50:50 Gilt Plus SDL June 2028 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,68.0,0.35,7.22,7.68,,0.27,1.22,,
Axis CRISIL IBX 50:50 Gilt Plus SDL Sep 2027 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,36.0,0.4,7.18,7.51,,0.29,0.76,,
Axis Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,1132.0,0.63,5.9,7.32,6.22,0.11,1.0,,
Axis Floater Fund-Reg(G),Debt MF,DT-FL,Debt : Floater,153.0,0.49,6.25,7.8,,0.2,2.2,,
Axis FTP-112-1143D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,83.0,,6.37,7.08,,0.23,0.19,,
Axis Gilt Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,588.0,0.83,3.56,7.15,5.66,0.09,0.36,,
Axis Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,43636.0,0.21,6.27,6.92,5.94,0.32,0.56,,
Axis Money Market Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,23790.0,0.34,6.97,7.38,6.27,0.54,0.82,,
Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF FoF-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,182.0,0.19,6.09,6.97,,0.06,0.18,,
Axis Nifty SDL Sep 2026 Debt Index Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,69.0,0.31,6.92,7.44,,0.32,1.02,,
Axis Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,10566.0,0.1,5.5,6.3,5.49,-0.58,1.19,,
Axis Short Duration Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,11860.0,0.91,7.05,7.41,6.2,0.25,0.43,,
Axis Strategic Bond Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,2122.0,1.33,7.38,7.89,6.82,0.35,0.3,,
Bandhan Banking and PSU Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,12536.0,0.66,6.15,6.93,5.86,0.14,0.97,,
Bandhan Corp Bond Fund-Reg(G),Debt MF,DT-CORP,Debt : Corporate Bond,14570.0,0.65,6.39,7.1,5.89,0.16,1.05,,
Bandhan Credit Risk Fund-Reg(G),Debt MF,DT-CR,Debt : Credit Risk,239.0,1.69,5.22,6.2,5.46,-0.06,0.97,,
Bandhan CRISIL IBX 90:10 SDL Plus Gilt - Nov 2026 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,97.0,0.35,6.95,7.39,,0.3,2.54,,
Bandhan CRISIL IBX 90:10 SDL Plus Gilt - Sep 2027 Index Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,150.0,0.35,7.28,7.68,,0.3,0.85,,
Bandhan CRISIL IBX Gilt April 2026 Index Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,365.0,0.44,6.09,6.76,,0.16,1.13,,
Bandhan CRISIL IBX Gilt April 2032 Index Fund-Reg(G),Debt MF,DT-LD,Debt : Long Duration,444.0,0.47,6.47,8.1,,0.22,0.7,,
Bandhan CRISIL IBX Gilt June 2027 Index Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,5972.0,0.46,6.96,7.34,,0.28,1.23,,
Bandhan Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,2196.0,1.59,2.22,6.27,5.09,0.01,4.02,,
Bandhan Floater Fund-Reg(G),Debt MF,DT-FL,Debt : Floater,272.0,0.77,6.68,7.27,5.97,0.22,0.98,,
Bandhan FTP-179-3652D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,367.0,,7.6,8.28,7.02,0.27,4.05,,
Bandhan Gilt Fund with 10 year constant duration Fund-Reg(G),Debt MF,DT-GL10Y,Debt : Gilt (10 Yr Constant Duration),344.0,0.48,5.89,7.94,6.02,0.2,2.67,,
Bandhan Gilt Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,1949.0,1.15,2.83,6.82,5.56,0.05,0.19,,
Bandhan Low Duration Fund-Reg(G),Debt MF,DT-LOWD,Debt : Low Duration,5926.0,0.66,6.56,6.98,5.88,0.25,1.56,,
Bandhan Medium Duration Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,1364.0,1.36,5.48,6.58,5.25,0.05,2.5,,
Bandhan Medium to Long Duration Fund-Reg(G),Debt MF,DT-LD,Debt : Long Duration,461.0,1.99,2.97,5.66,4.54,-0.07,0.35,,
Bandhan Money Market Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,14805.0,0.35,6.88,6.98,5.73,0.29,0.18,,
Bandhan Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,891.0,0.15,5.41,6.21,5.4,-0.73,1.16,,
Bandhan Short Duration Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,10283.0,0.83,6.47,7.18,5.88,0.19,0.29,,
Bank of India Credit Risk Fund-Reg(G),Debt MF,DT-CR,Debt : Credit Risk,106.0,1.38,11.53,7.75,27.12,0.11,2.78,,
Bank of India Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,1915.0,0.13,6.31,6.96,5.97,0.37,0.18,,
Bank of India Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,82.0,0.1,5.56,6.37,5.56,-0.46,0.18,,
Bank of India Short Term Income Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,279.0,1.0,6.0,7.1,10.19,0.15,1.38,,
Bank of India Ultra Short Duration Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,165.0,0.85,6.04,6.35,5.45,-0.17,0.3,,
Baroda BNP Paribas Corp Bond Fund(G),Debt MF,DT-CORP,Debt : Corporate Bond,366.0,0.58,7.18,7.6,5.72,0.22,1.41,,
Baroda BNP Paribas Credit Risk Fund-Reg(G),Debt MF,DT-CR,Debt : Credit Risk,187.0,1.61,7.41,7.68,9.23,0.44,0.76,,
Baroda BNP Paribas Gilt Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,1056.0,0.45,3.24,6.97,5.54,0.09,2.56,,
Baroda BNP Paribas Liquid Fund(G),Debt MF,DT-LIQ,Debt : Liquid,12362.0,0.26,6.16,6.83,5.9,0.22,2.69,,
Baroda BNP Paribas Low Duration Fund(G),Debt MF,DT-LOWD,Debt : Low Duration,301.0,1.04,6.32,6.71,5.62,0.12,0.19,,
Baroda BNP Paribas Money Market Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,4965.0,0.37,6.8,7.07,5.81,0.37,0.41,,
Baroda BNP Paribas Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,766.0,0.13,5.44,6.24,5.44,-0.68,0.95,,
Baroda BNP Paribas Ultra Short Duration Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,670.0,0.48,6.54,7.09,6.13,0.44,0.18,,
Canara Rob Banking and PSU Debt Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,194.0,0.73,5.6,6.61,,0.05,1.12,,
Canara Rob Corp Bond Fund-Reg(G),Debt MF,DT-CORP,Debt : Corporate Bond,110.0,1.04,5.25,6.39,5.32,-0.02,0.32,,
Canara Rob Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,98.0,1.78,1.8,5.23,4.33,-0.09,1.72,,
Canara Rob Gilt Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,136.0,1.27,1.76,5.8,4.85,-0.04,2.05,,
Canara Rob Income Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,117.0,1.91,3.08,5.59,4.52,-0.09,2.17,,
Canara Rob Liquid Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,7457.0,0.15,6.25,6.91,5.92,0.29,2.27,,
Canara Rob Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,315.0,0.09,5.43,6.21,5.43,-0.74,2.57,,
Canara Rob Savings Fund-Reg(G),Debt MF,DT-LOWD,Debt : Low Duration,1350.0,0.48,6.75,7.07,5.85,0.3,2.59,,
Canara Rob Short Duration Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,366.0,1.02,5.92,6.58,5.35,0.04,1.99,,
Canara Rob Ultra Short Term Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,563.0,0.97,6.1,6.45,5.33,-0.07,2.31,,
DSP 10Y G-Sec Fund-Reg(G),Debt MF,DT-GL10Y,Debt : Gilt (10 Yr Constant Duration),56.0,0.52,4.2,7.18,4.97,0.13,1.14,,
DSP Banking & PSU Debt Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,3575.0,0.61,5.65,7.04,5.82,0.12,3.09,,
DSP Bond Fund-Reg(G),Debt MF,DT-MD,Debt : Medium Duration,311.0,0.75,6.13,7.26,6.02,0.17,3.25,,
DSP Corp Bond Fund-Reg(G),Debt MF,DT-CORP,Debt : Corporate Bond,3411.0,0.53,7.0,7.26,5.55,0.24,2.16,,
DSP Credit Risk Fund-Reg(G),Debt MF,DT-CR,Debt : Credit Risk,225.0,1.22,5.6,14.21,10.92,0.26,0.19,,
DSP CRISIL-IBX 50:50 Gilt Plus SDL - April 2033 Index Fund-Reg(G),Debt MF,DT-LD,Debt : Long Duration,323.0,0.4,5.57,7.82,,0.18,0.17,,
DSP Floater Fund-Reg(G),Debt MF,DT-FL,Debt : Floater,407.0,0.53,6.58,7.93,6.48,0.36,0.45,,
DSP FMP 264-60M & 17D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,54.0,,7.01,7.54,,0.35,0.93,,
DSP FMP 267-1246D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,718.0,,6.54,7.19,,0.3,0.31,,
DSP FMP 270-1144D-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,195.0,,6.54,7.19,,0.3,2.45,,
DSP Gilt Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,1389.0,1.16,1.99,6.59,5.65,0.04,1.64,,
DSP Liquidity Fund-Reg(G),Debt MF,DT-LIQ,Debt : Liquid,21058.0,0.22,6.26,6.89,5.9,0.29,1.43,,
DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,1805.0,0.3,7.28,7.72,,0.32,0.86,,
DSP Nifty SDL Plus G-Sec Sep 2027 50:50 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,89.0,0.32,7.25,7.63,,0.31,6.87,,
DSP Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,3140.0,0.13,5.44,6.24,5.43,-0.66,2.44,,
DSP Savings Fund-Reg(G),Debt MF,DT-MM,Debt : Money Market,8549.0,0.41,6.59,7.06,5.91,0.38,1.06,,
DSP Short Term Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,3743.0,0.94,6.22,6.95,5.66,0.14,3.61,,
DSP Strategic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,885.0,1.22,1.94,6.78,5.5,0.06,0.18,,
DSP Ultra Short Fund-Reg(G),Debt MF,DT-USD,Debt : Ultra Short Duration,3714.0,1.01,6.07,6.66,5.54,0.08,0.46,,
Edelweiss Banking and PSU Debt Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,517.0,0.69,6.12,7.15,6.27,0.13,0.25,,
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund-Reg(G),Debt MF,DT-LD,Debt : Long Duration,960.0,0.5,4.54,7.71,,0.13,1.3,,
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,95.0,0.44,7.09,7.47,,0.29,1.12,,
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,140.0,0.46,7.22,7.7,,0.27,0.18,,
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,133.0,0.6,6.62,7.18,,0.21,0.34,,
Edelweiss Government Securities Fund-Reg(G),Debt MF,DT-GILT,Debt : Gilt,157.0,1.16,1.25,5.94,5.43,-0.01,0.34,,
Edelweiss Money Market Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,3027.0,0.71,6.35,6.64,5.39,0.07,2.94,,
Edelweiss Nifty PSU Bond Plus SDL Apr 2026 50:50 Index Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,6149.0,0.43,6.68,7.11,6.18,0.28,1.0,,
Edelweiss Nifty PSU Bond Plus SDL Apr 2027 50:50 Index Fund-Reg(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,2233.0,0.44,7.18,7.46,,0.28,1.44,,
Edelweiss Overnight Fund-Reg(G),Debt MF,DT-ON,Debt : Overnight,210.0,0.16,5.4,6.2,5.4,-0.73,1.14,,
Franklin India Floating Rate Fund(G),Debt MF,DT-FL,Debt : Floater,314.0,0.94,7.69,7.79,6.35,0.34,3.12,,
Franklin India G-Sec Fund(G),Debt MF,DT-GILT,Debt : Gilt,176.0,1.23,4.31,5.94,5.12,-0.06,0.19,,
Franklin India Money Market Fund(G),Debt MF,DT-MM,Debt : Money Market,4352.0,0.28,6.96,7.33,6.15,0.51,0.88,,
Franklin India Overnight Fund(G),Debt MF,DT-ON,Debt : Overnight,758.0,0.11,5.5,6.24,5.42,-0.73,0.18,,
Groww Dynamic Bond Fund-Reg(G),Debt MF,DT-DYN,Debt : Dynamic Bond,59.0,1.32,2.14,4.87,4.56,-0.17,1.35,,
Groww Short Duration Fund-Reg(G),Debt MF,DT-SD,Debt : Short Duration,94.0,1.05,6.31,6.22,4.96,-0.04,0.99,,
HDFC Banking and PSU Debt Fund-Reg(G),Debt MF,DT-B&PSU,Debt : Banking & PSU,5599.0,0.72,6.32,7.11,6.01,0.15,2.32,,
HDFC Corp Bond Fund(G),Debt MF,DT-CORP,Debt : Corporate Bond,33200.0,0.62,6.03,7.4,6.27,0.2,0.18,,
HDFC Floating Rate Debt Fund(G),Debt MF,DT-FL,Debt : Floater,16766.0,0.53,7.17,7.78,6.65,0.48,0.37,,
HDFC FMP-Sr 46-1359D-Sep 2022-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,342.0,,6.44,7.04,,0.24,0.17,,
HDFC FMP-Sr 46-1876D-Mar 2022-Reg(G),Debt MF,DT-FMP,Debt : FTP/FMP,35.0,,7.37,7.75,,0.38,2.45,,
HDFC Income Fund(G),Debt MF,DT-M&LD,Debt : Medium to Long Duration,856.0,1.44,3.88,6.55,5.02,0.04,0.18,,
HDFC Liquid Fund(G),Debt MF,DT-LIQ,Debt : Liquid,67850.0,0.31,6.23,6.86,5.87,0.24,1.06,,
HDFC Long Duration Debt Fund-Reg(G),Debt MF,DT-LD,Debt : Long Duration,3923.0,0.62,-0.06,6.1,,0.02,1.24,,
HDFC Low Duration Fund(G),Debt MF,DT-LOWD,Debt : Low Duration,25582.0,1.09,6.72,7.1,6.01,0.28,1.33,,
HDFC Medium Term Debt Fund(G),Debt MF,DT-MD,Debt : Medium Duration,3872.0,1.33,6.64,7.33,6.28,0.21,0.94,,
